--- Report Estrazione PDF: Diario di un Witcher.pdf ---
Data: 2026-04-16 09:31:32

--- Dettagli Immagini ---
Pag001_L1_SenzaSezione_01.png | Nome PDF: Im0 | Dim: 1229x1586px | CS: ICCBased
Pag001_L1_SenzaSezione_02.png | Nome PDF: Im1 | Dim: 815x254px | CS: ICCBased
Pag001_L1_SenzaSezione_03.png | Nome PDF: Im2 | Dim: 159x69px | CS: ICCBased
Pag001_L1_SenzaSezione_04.png | Nome PDF: Im3 | Dim: 157x69px | CS: ICCBased
Pag001_L1_SenzaSezione_05.png | Nome PDF: Im4 | Dim: 46x779px | CS: Indexed
Pag001_L1_SenzaSezione_06.png | Nome PDF: Im0 | Dim: 166x94px | CS: Indexed
Pag002_L2_SenzaSezione_01.png | Nome PDF: Im0 | Dim: 1227x484px | CS: ICCBased
Pag002_L2_SenzaSezione_02.png | Nome PDF: Im1 | Dim: 186x92px | CS: ICCBased
Pag002_L2_SenzaSezione_03.png | Nome PDF: Im2 | Dim: 213x92px | CS: ICCBased
Pag002_L2_SenzaSezione_04.png | Nome PDF: Im3 | Dim: 157x69px | CS: ICCBased
Pag002_L2_SenzaSezione_05.png | Nome PDF: Im0 | Dim: 1253x1641px | CS: ICCBased
Pag002_L2_SenzaSezione_06.png | Nome PDF: Im0 | Dim: 2505x103px | CS: ICCBased
Pag002_L2_SenzaSezione_07.png | Nome PDF: Im0 | Dim: 59x161px | CS: Indexed
Pag002_L2_SenzaSezione_08.png | Nome PDF: Im0 | Dim: 19x44px | CS: ICCBased
Pag002_L2_SenzaSezione_09.png | Nome PDF: Im0 | Dim: 61x65px | CS: Indexed
Pag002_L2_SenzaSezione_10.png | Nome PDF: Im0 | Dim: 61x113px | CS: Indexed
Pag003_L3_Sommario_01.png | Nome PDF: Im0 | Dim: 3x484px | CS: ICCBased
Pag003_L3_Sommario_02.png | Nome PDF: Im1 | Dim: 1227x760px | CS: ICCBased
Pag004_L4_Sommario_01.png | Nome PDF: Im0 | Dim: 1227x1589px | CS: ICCBased
Pag016_L16_Bullvore_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag016_L16_Bullvore_02.png | Nome PDF: Im1 | Dim: 165x950px | CS: ICCBased
Pag016_L16_Bullvore_03.png | Nome PDF: Im2 | Dim: 156x156px | CS: ICCBased
Pag016_L16_Bullvore_04.png | Nome PDF: Im3 | Dim: 209x113px | CS: ICCBased
Pag016_L16_Bullvore_05.png | Nome PDF: Im4 | Dim: 238x113px | CS: ICCBased
Pag016_L16_Bullvore_06.png | Nome PDF: Im5 | Dim: 364x122px | CS: ICCBased
Pag016_L16_Bullvore_07.png | Nome PDF: Im0 | Dim: 204x253px | CS: ICCBased
Pag016_L16_Bullvore_08.png | Nome PDF: Im0 | Dim: 92x253px | CS: ICCBased
Pag016_L16_Bullvore_09.png | Nome PDF: Im0 | Dim: 63x253px | CS: ICCBased
Pag016_L16_Bullvore_10.png | Nome PDF: Im0 | Dim: 179x253px | CS: ICCBased
Pag016_L16_Bullvore_11.png | Nome PDF: Im0 | Dim: 113x208px | CS: ICCBased
Pag016_L16_Bullvore_12.png | Nome PDF: Im0 | Dim: 113x238px | CS: ICCBased
Pag016_L16_Bullvore_13.png | Nome PDF: Im0 | Dim: 121x360px | CS: ICCBased
Pag016_L16_Bullvore_14.png | Nome PDF: Im0 | Dim: 377x253px | CS: ICCBased
Pag016_L16_Bullvore_15.png | Nome PDF: Im0 | Dim: 64x253px | CS: ICCBased
Pag017_L17_Bullvore_01.png | Nome PDF: Im0 | Dim: 304x527px | CS: ICCBased
Pag017_L17_Bullvore_02.png | Nome PDF: Im0 | Dim: 141x1083px | CS: ICCBased
Pag018_L18_Demone Putrefatto_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag018_L18_Demone Putrefatto_02.png | Nome PDF: Im0 | Dim: 326x253px | CS: ICCBased
Pag018_L18_Demone Putrefatto_03.png | Nome PDF: Im0 | Dim: 182x253px | CS: ICCBased
Pag018_L18_Demone Putrefatto_04.png | Nome PDF: Im0 | Dim: 62x253px | CS: ICCBased
Pag018_L18_Demone Putrefatto_05.png | Nome PDF: Im0 | Dim: 114x253px | CS: ICCBased
Pag019_L19_Demone Putrefatto_01.png | Nome PDF: Im0 | Dim: 102x1083px | CS: ICCBased
Pag020_L20_Foglet_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag020_L20_Foglet_02.png | Nome PDF: Im0 | Dim: 226x253px | CS: ICCBased
Pag020_L20_Foglet_03.png | Nome PDF: Im0 | Dim: 150x253px | CS: ICCBased
Pag022_L22_Foglet_01.png | Nome PDF: Im0 | Dim: 1229x1589px | CS: ICCBased
Pag023_L23_Nella Bruma Oscura_01.png | Nome PDF: Im0 | Dim: 5x1589px | CS: ICCBased
Pag024_L24_Nella Bruma Oscura_01.png | Nome PDF: Im0 | Dim: 1227x1589px | CS: ICCBased
Pag024_L24_Nella Bruma Oscura_02.png | Nome PDF: Im1 | Dim: 170x170px | CS: ICCBased
Pag026_L26_Barghest_01.png | Nome PDF: Im0 | Dim: 803x964px | CS: ICCBased
Pag026_L26_Barghest_02.png | Nome PDF: Im2 | Dim: 156x156px | CS: ICCBased
Pag026_L26_Barghest_03.png | Nome PDF: Im0 | Dim: 204x253px | CS: ICCBased
Pag026_L26_Barghest_04.png | Nome PDF: Im0 | Dim: 325x253px | CS: ICCBased
Pag028_L28_Hym_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag028_L28_Hym_02.png | Nome PDF: Im0 | Dim: 178x253px | CS: ICCBased
Pag029_L29_Hym_01.png | Nome PDF: Im0 | Dim: 242x527px | CS: ICCBased
Pag029_L29_Hym_02.png | Nome PDF: Im0 | Dim: 481x527px | CS: ICCBased
Pag030_L30_Pesta_01.png | Nome PDF: Im0 | Dim: 807x964px | CS: ICCBased
Pag030_L30_Pesta_02.png | Nome PDF: Im0 | Dim: 225x253px | CS: ICCBased
