--- Report Estrazione PDF: Witcher - Libro dei Racconti (italian).pdf ---
Data: 2026-04-16 09:34:31

--- Dettagli Immagini ---
Pag001_L1_SenzaSezione_01.png | Nome PDF: Im0 | Dim: 2828x1849px | CS: DeviceRGB
Pag001_L1_SenzaSezione_02.png | Nome PDF: Im1 | Dim: 1429x1849px | CS: DeviceRGB
Pag001_L1_SenzaSezione_03.png | Nome PDF: Im2 | Dim: 815x254px | CS: ICCBased
Pag001_L1_SenzaSezione_04.png | Nome PDF: Im3 | Dim: 157x69px | CS: DeviceRGB
Pag001_L1_SenzaSezione_05.png | Nome PDF: Im4 | Dim: 155x69px | CS: DeviceRGB
Pag001_L1_SenzaSezione_06.png | Nome PDF: Im0 | Dim: 101x1853px | CS: DeviceRGB
Pag001_L1_SenzaSezione_07.png | Nome PDF: Im0 | Dim: 57x54px | CS: DeviceRGB
Pag001_L1_SenzaSezione_08.png | Nome PDF: Im0 | Dim: 166x94px | CS: Indexed
Pag002_L2_SenzaSezione_01.png | Nome PDF: Im0 | Dim: 1227x576px | CS: DeviceRGB
Pag002_L2_SenzaSezione_02.png | Nome PDF: Im1 | Dim: 186x92px | CS: ICCBased
Pag002_L2_SenzaSezione_03.png | Nome PDF: Im2 | Dim: 213x92px | CS: ICCBased
Pag002_L2_SenzaSezione_04.png | Nome PDF: Im0 | Dim: 1261x1656px | CS: ICCBased
Pag002_L2_SenzaSezione_05.png | Nome PDF: Im0 | Dim: 2510x110px | CS: ICCBased
Pag002_L2_SenzaSezione_06.png | Nome PDF: Im0 | Dim: 59x161px | CS: DeviceRGB
Pag002_L2_SenzaSezione_07.png | Nome PDF: Im0 | Dim: 19x44px | CS: DeviceRGB
Pag002_L2_SenzaSezione_08.png | Nome PDF: Im0 | Dim: 61x65px | CS: Indexed
Pag002_L2_SenzaSezione_09.png | Nome PDF: Im0 | Dim: 61x113px | CS: DeviceRGB
Pag003_L3_Sommario_01.png | Nome PDF: Im0 | Dim: 3x576px | CS: DeviceRGB
Pag003_L3_Sommario_02.png | Nome PDF: Im1 | Dim: 1229x899px | CS: DeviceRGB
Pag004_L4_Sommario_01.png | Nome PDF: Im0 | Dim: 1227x1587px | CS: DeviceRGB
Pag005_L5_Libro dei Racconti_01.png | Nome PDF: Im0 | Dim: 870x1125px | CS: DeviceRGB
Pag005_L5_Libro dei Racconti_02.png | Nome PDF: Im1 | Dim: 343x111px | CS: ICCBased
Pag005_L5_Libro dei Racconti_03.png | Nome PDF: Im2 | Dim: 343x111px | CS: ICCBased
Pag005_L5_Libro dei Racconti_04.png | Nome PDF: Im0 | Dim: 114x102px | CS: Indexed
Pag006_L6_I Sei Racconti_01.png | Nome PDF: Im5 | Dim: 91x82px | CS: Indexed
Pag007_L7_Sotto il Ghiaccio_01.png | Nome PDF: Im0 | Dim: 1227x830px | CS: DeviceRGB
Pag009_L9_Sotto il Ghiaccio_01.png | Nome PDF: Im0 | Dim: 807x559px | CS: DeviceRGB
Pag009_L9_Sotto il Ghiaccio_02.png | Nome PDF: Im1 | Dim: 391x525px | CS: DeviceRGB
Pag009_L9_Sotto il Ghiaccio_03.png | Nome PDF: Im0 | Dim: 149x225px | CS: DeviceRGB
Pag010_L10_Sotto il Ghiaccio_01.png | Nome PDF: Im0 | Dim: 586x759px | CS: DeviceRGB
Pag011_L11_Sotto il Ghiaccio_01.png | Nome PDF: Im0 | Dim: 1227x653px | CS: DeviceRGB
Pag011_L11_Sotto il Ghiaccio_02.png | Nome PDF: Im0 | Dim: 293x526px | CS: DeviceRGB
Pag012_L12_Sotto il Ghiaccio_01.png | Nome PDF: Im0 | Dim: 391x527px | CS: DeviceRGB
Pag012_L12_Sotto il Ghiaccio_02.png | Nome PDF: Im1 | Dim: 391x526px | CS: DeviceRGB
Pag013_L13_Sotto il Ghiaccio_01.png | Nome PDF: Im0 | Dim: 392x552px | CS: DeviceRGB
Pag013_L13_Sotto il Ghiaccio_02.png | Nome PDF: Im0 | Dim: 447x228px | CS: DeviceRGB
Pag014_L14_Sotto il Ghiaccio_01.png | Nome PDF: Im0 | Dim: 807x585px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_01.png | Nome PDF: Im0 | Dim: 113x260px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_02.png | Nome PDF: Im1 | Dim: 330x260px | CS: DeviceRGB
Pag016_L16_La Bestia del Lago Tankred_03.png | Nome PDF: Im10 | Dim: 238x120px | CS: DeviceRGB
