--- Report Estrazione PDF: Witcher-v1.3.pdf ---
Data: 2026-04-16 09:36:07

--- Dettagli Immagini ---
Pag001_L1_SenzaSezione_01.png | Nome PDF: 30d661eb-d650-40ca-ae0b-607943fa877c | Dim: 753x235px | CS: DeviceGray
Pag001_L1_SenzaSezione_02.png | Nome PDF: Im0 | Dim: 1280x1655px | CS: DeviceRGB
Pag001_L1_SenzaSezione_03.png | Nome PDF: Im1 | Dim: 753x235px | CS: DeviceRGB
Pag001_L1_SenzaSezione_04.png | Nome PDF: Im2 | Dim: 1287x1207px | CS: DeviceRGB
Pag001_L1_SenzaSezione_05.png | Nome PDF: Im3 | Dim: 1408x828px | CS: DeviceRGB
Pag001_L1_SenzaSezione_06.png | Nome PDF: Im0 | Dim: 136x1930px | CS: DeviceGray
Pag001_L1_SenzaSezione_07.png | Nome PDF: Im0 | Dim: 340x191px | CS: Indexed
Pag001_L1_SenzaSezione_08.png | Nome PDF: Im0 | Dim: 93x89px | CS: DeviceGray
Pag002_L2_SenzaSezione_01.png | Nome PDF: 59f9914a-9976-47d1-81a3-8913c79468e4 | Dim: 222x96px | CS: DeviceGray
Pag002_L2_SenzaSezione_02.png | Nome PDF: 6a9af50d-4a6b-4066-ad4e-4d8ab5cbc569 | Dim: 194x96px | CS: DeviceGray
Pag002_L2_SenzaSezione_03.png | Nome PDF: Im0 | Dim: 1278x599px | CS: DeviceRGB
Pag002_L2_SenzaSezione_04.png | Nome PDF: Im1 | Dim: 194x96px | CS: DeviceRGB
Pag002_L2_SenzaSezione_05.png | Nome PDF: Im2 | Dim: 222x96px | CS: DeviceRGB
Pag002_L2_SenzaSezione_06.png | Nome PDF: Im3 | Dim: 163x71px | CS: DeviceRGB
Pag002_L2_SenzaSezione_07.png | Nome PDF: f99bf58f-a573-4b19-9f18-cba0487c52f1 | Dim: 163x71px | CS: DeviceGray
Pag002_L2_SenzaSezione_08.png | Nome PDF: Im0 | Dim: 1321x1710px | CS: DeviceRGB
Pag002_L2_SenzaSezione_09.png | Nome PDF: Im0 | Dim: 2605x107px | CS: DeviceRGB
Pag002_L2_SenzaSezione_10.png | Nome PDF: Im0 | Dim: 61x168px | CS: DeviceGray
Pag002_L2_SenzaSezione_11.png | Nome PDF: Im0 | Dim: 20x46px | CS: DeviceGray
Pag002_L2_SenzaSezione_12.png | Nome PDF: Im0 | Dim: 63x68px | CS: DeviceGray
Pag002_L2_SenzaSezione_13.png | Nome PDF: Im0 | Dim: 64x118px | CS: DeviceGray
Pag003_L3_Sommario_01.png | Nome PDF: Im0 | Dim: 3x599px | CS: DeviceGray
Pag004_L4_Sommario_01.png | Nome PDF: Im0 | Dim: 1278x1655px | CS: DeviceRGB
Pag005_L5_Il Mondo di The Witcher_01.png | Nome PDF: 27b307e6-39d0-41a7-8752-c97b432c3641 | Dim: 93x93px | CS: DeviceGray
Pag005_L5_Il Mondo di The Witcher_02.png | Nome PDF: 3a3fdb61-9ff5-45ca-a2d1-505b7817645a | Dim: 93x93px | CS: DeviceGray
Pag005_L5_Il Mondo di The Witcher_03.png | Nome PDF: 49778f7b-680b-4ab5-afc6-cf66787f511d | Dim: 93x93px | CS: DeviceGray
Pag005_L5_Il Mondo di The Witcher_04.png | Nome PDF: 8b72ff5b-e1b8-477e-af38-bbc100849b0e | Dim: 93x93px | CS: DeviceGray
Pag005_L5_Il Mondo di The Witcher_05.png | Nome PDF: Im0 | Dim: 262x252px | CS: ICCBased
Pag005_L5_Il Mondo di The Witcher_06.png | Nome PDF: Im1 | Dim: 93x93px | CS: DeviceRGB
Pag005_L5_Il Mondo di The Witcher_07.png | Nome PDF: Im2 | Dim: 93x93px | CS: DeviceRGB
Pag005_L5_Il Mondo di The Witcher_08.png | Nome PDF: Im3 | Dim: 93x93px | CS: DeviceRGB
Pag005_L5_Il Mondo di The Witcher_09.png | Nome PDF: Im4 | Dim: 93x93px | CS: DeviceRGB
Pag005_L5_Il Mondo di The Witcher_10.png | Nome PDF: Im5 | Dim: 93x93px | CS: DeviceRGB
Pag005_L5_Il Mondo di The Witcher_11.png | Nome PDF: Im6 | Dim: 93x93px | CS: DeviceRGB
Pag005_L5_Il Mondo di The Witcher_12.png | Nome PDF: b427b0d5-e6c8-46c4-b354-13cf078e5212 | Dim: 93x93px | CS: DeviceGray
Pag005_L5_Il Mondo di The Witcher_13.png | Nome PDF: cb928eb0-0a17-4b4c-a796-ccaf8bd47c96 | Dim: 93x93px | CS: DeviceGray
Pag006_L6_Il Mondo di The Witcher_01.png | Nome PDF: Im0 | Dim: 359x517px | CS: DeviceRGB
Pag007_L7_Il Mondo di The Witcher_01.png | Nome PDF: Im0 | Dim: 361x541px | CS: DeviceRGB
Pag008_L8_Il Mondo di The Witcher_01.png | Nome PDF: Im0 | Dim: 1280x879px | CS: DeviceRGB
Pag009_L9_Il Mondo di The Witcher_01.png | Nome PDF: Im0 | Dim: 5x879px | CS: DeviceGray
Pag009_L9_Il Mondo di The Witcher_02.png | Nome PDF: Im1 | Dim: 1125x1292px | CS: DeviceRGB
Pag011_L11_Storia Recente_01.png | Nome PDF: Im0 | Dim: 1277x707px | CS: DeviceRGB
Pag012_L12_Geralt di Rivia_01.png | Nome PDF: Im0 | Dim: 408x626px | CS: DeviceRGB
Pag012_L12_Geralt di Rivia_02.png | Nome PDF: Im0 | Dim: 337x406px | CS: DeviceRGB
Pag012_L12_Geralt di Rivia_03.png | Nome PDF: Im0 | Dim: 607x262px | CS: DeviceRGB
Pag012_L12_Geralt di Rivia_04.png | Nome PDF: Im0 | Dim: 338x264px | CS: DeviceRGB
Pag012_L12_Geralt di Rivia_05.png | Nome PDF: Im0 | Dim: 244x125px | CS: DeviceRGB
Pag012_L12_Geralt di Rivia_06.png | Nome PDF: Im0 | Dim: 273x125px | CS: DeviceRGB
Pag012_L12_Geralt di Rivia_07.png | Nome PDF: Im0 | Dim: 834x221px | CS: DeviceRGB
Pag013_L13_Yennefer di Vengeberg_01.png | Nome PDF: Im0 | Dim: 408x665px | CS: DeviceRGB
Pag013_L13_Yennefer di Vengeberg_02.png | Nome PDF: Im0 | Dim: 244x123px | CS: DeviceRGB
Pag013_L13_Yennefer di Vengeberg_03.png | Nome PDF: Im0 | Dim: 336x262px | CS: DeviceRGB
Pag013_L13_Yennefer di Vengeberg_04.png | Nome PDF: Im0 | Dim: 606x264px | CS: DeviceRGB
Pag013_L13_Yennefer di Vengeberg_05.png | Nome PDF: Im0 | Dim: 367x406px | CS: DeviceRGB
Pag013_L13_Yennefer di Vengeberg_06.png | Nome PDF: Im0 | Dim: 836x187px | CS: DeviceRGB
Pag014_L14_Dandelion_01.png | Nome PDF: Im0 | Dim: 408x909px | CS: DeviceRGB
Pag014_L14_Dandelion_02.png | Nome PDF: Im0 | Dim: 67x406px | CS: DeviceRGB
Pag014_L14_Dandelion_03.png | Nome PDF: Im0 | Dim: 606x268px | CS: DeviceRGB
Pag014_L14_Dandelion_04.png | Nome PDF: Im0 | Dim: 336x268px | CS: DeviceRGB
Pag014_L14_Dandelion_05.png | Nome PDF: Im0 | Dim: 274x129px | CS: DeviceRGB
Pag014_L14_Dandelion_06.png | Nome PDF: Im0 | Dim: 244x127px | CS: DeviceRGB
Pag014_L14_Dandelion_07.png | Nome PDF: Im0 | Dim: 834x225px | CS: DeviceRGB
Pag015_L15_Zoltan Chivay_01.png | Nome PDF: Im0 | Dim: 408x908px | CS: DeviceRGB
Pag015_L15_Zoltan Chivay_02.png | Nome PDF: Im0 | Dim: 244x126px | CS: DeviceRGB
Pag015_L15_Zoltan Chivay_03.png | Nome PDF: Im0 | Dim: 336x263px | CS: DeviceRGB
Pag015_L15_Zoltan Chivay_04.png | Nome PDF: Im0 | Dim: 835x249px | CS: DeviceRGB
Pag016_L16_Triss Merigold_01.png | Nome PDF: Im0 | Dim: 408x672px | CS: DeviceRGB
Pag016_L16_Triss Merigold_02.png | Nome PDF: Im0 | Dim: 336x268px | CS: DeviceRGB
Pag016_L16_Triss Merigold_03.png | Nome PDF: Im0 | Dim: 606x268px | CS: DeviceRGB
Pag016_L16_Triss Merigold_04.png | Nome PDF: Im0 | Dim: 244x128px | CS: DeviceRGB
Pag016_L16_Triss Merigold_05.png | Nome PDF: Im0 | Dim: 274x129px | CS: DeviceRGB
Pag016_L16_Triss Merigold_06.png | Nome PDF: Im0 | Dim: 836x209px | CS: DeviceRGB
Pag017_L17_Vernon Roche_01.png | Nome PDF: Im0 | Dim: 408x908px | CS: DeviceRGB
Pag017_L17_Vernon Roche_02.png | Nome PDF: Im0 | Dim: 835x234px | CS: DeviceRGB
Pag018_L18_Iorveth_01.png | Nome PDF: Im0 | Dim: 408x909px | CS: DeviceRGB
Pag018_L18_Iorveth_02.png | Nome PDF: Im0 | Dim: 836x248px | CS: DeviceRGB
Pag019_L19_Letho di Guleta_01.png | Nome PDF: Im0 | Dim: 408x671px | CS: DeviceRGB
Pag019_L19_Letho di Guleta_02.png | Nome PDF: Im0 | Dim: 336x406px | CS: DeviceRGB
Pag019_L19_Letho di Guleta_03.png | Nome PDF: Im0 | Dim: 836x210px | CS: DeviceRGB
Pag020_L20_La Creazione del Personaggio_01.png | Nome PDF: Im0 | Dim: 1278x698px | CS: DeviceRGB
Pag021_L21_Razze_01.png | Nome PDF: Im0 | Dim: 836x301px | CS: DeviceRGB
Pag022_L22_Razze_01.png | Nome PDF: Im0 | Dim: 1275x488px | CS: DeviceRGB
Pag024_L24_Razze_01.png | Nome PDF: Im0 | Dim: 1277x628px | CS: DeviceRGB
Pag025_L25_Background_01.png | Nome PDF: Im0 | Dim: 3x628px | CS: DeviceRGB
Pag025_L25_Background_02.png | Nome PDF: Im0 | Dim: 433x142px | CS: DeviceRGB
Pag025_L25_Background_03.png | Nome PDF: Im0 | Dim: 603x109px | CS: DeviceRGB
Pag025_L25_Background_04.png | Nome PDF: Im0 | Dim: 112x139px | CS: DeviceRGB
Pag025_L25_Background_05.png | Nome PDF: Im0 | Dim: 112x197px | CS: DeviceRGB
Pag026_L26_Background_01.png | Nome PDF: Im0 | Dim: 1199x109px | CS: DeviceRGB
Pag027_L27_Background_01.png | Nome PDF: Im0 | Dim: 126x233px | CS: DeviceRGB
Pag027_L27_Background_02.png | Nome PDF: Im0 | Dim: 1207x109px | CS: DeviceRGB
Pag028_L28_Background_01.png | Nome PDF: Im0 | Dim: 1172x109px | CS: DeviceRGB
Pag029_L29_Background_01.png | Nome PDF: Im0 | Dim: 1221x109px | CS: DeviceRGB
Pag030_L30_Background_01.png | Nome PDF: Im0 | Dim: 338x836px | CS: DeviceRGB
Pag030_L30_Background_02.png | Nome PDF: Im0 | Dim: 337x109px | CS: DeviceRGB
Pag031_L31_Eventi Passati_01.png | Nome PDF: Im0 | Dim: 1280x1101px | CS: DeviceRGB
Pag031_L31_Eventi Passati_02.png | Nome PDF: Im0 | Dim: 127x836px | CS: DeviceRGB
Pag032_L32_Eventi Passati_01.png | Nome PDF: Im0 | Dim: 756x352px | CS: DeviceRGB
Pag032_L32_Eventi Passati_02.png | Nome PDF: Im0 | Dim: 1062x403px | CS: DeviceRGB
Pag032_L32_Eventi Passati_03.png | Nome PDF: Im0 | Dim: 896x404px | CS: DeviceRGB
