--- Report Estrazione PDF: the-witcher-tomo-del-caos.pdf ---
Data: 2026-04-16 09:33:54

--- Dettagli Immagini ---
Pag001_L1_SenzaSezione_01.png | Nome PDF: R226 | Dim: 1261x1656px | CS: DeviceRGB
Pag001_L1_SenzaSezione_02.png | Nome PDF: R229 | Dim: 2526x110px | CS: DeviceRGB
Pag001_L1_SenzaSezione_03.png | Nome PDF: R282 | Dim: 59x161px | CS: DeviceGray
Pag001_L1_SenzaSezione_04.png | Nome PDF: R287 | Dim: 59x161px | CS: DeviceRGB
Pag001_L1_SenzaSezione_05.png | Nome PDF: R294 | Dim: 61x65px | CS: DeviceGray
Pag001_L1_SenzaSezione_06.png | Nome PDF: R295 | Dim: 61x65px | CS: DeviceRGB
Pag001_L1_SenzaSezione_07.png | Nome PDF: R298 | Dim: 61x113px | CS: DeviceGray
Pag001_L1_SenzaSezione_08.png | Nome PDF: R303 | Dim: 61x113px | CS: DeviceRGB
Pag001_L1_SenzaSezione_09.png | Nome PDF: R310 | Dim: 1227x1587px | CS: DeviceRGB
Pag002_L2_SenzaSezione_01.png | Nome PDF: R209 | Dim: 157x69px | CS: DeviceGray
Pag002_L2_SenzaSezione_02.png | Nome PDF: R248 | Dim: 213x92px | CS: DeviceGray
Pag002_L2_SenzaSezione_03.png | Nome PDF: R334 | Dim: 1227x628px | CS: DeviceRGB
Pag002_L2_SenzaSezione_04.png | Nome PDF: R335 | Dim: 186x92px | CS: DeviceGray
Pag002_L2_SenzaSezione_05.png | Nome PDF: R336 | Dim: 186x92px | CS: DeviceRGB
Pag002_L2_SenzaSezione_06.png | Nome PDF: R337 | Dim: 213x92px | CS: DeviceRGB
Pag002_L2_SenzaSezione_07.png | Nome PDF: R338 | Dim: 157x69px | CS: DeviceRGB
Pag003_L3_SenzaSezione_01.png | Nome PDF: R354 | Dim: 1227x652px | CS: DeviceRGB
Pag004_L4_SenzaSezione_01.png | Nome PDF: R463 | Dim: 1227x1587px | CS: DeviceRGB
Pag005_L5_Redigere uno Scritto_01.png | Nome PDF: R475 | Dim: 114x109px | CS: DeviceGray
Pag005_L5_Redigere uno Scritto_02.png | Nome PDF: R476 | Dim: 114x109px | CS: DeviceRGB
Pag005_L5_Redigere uno Scritto_03.png | Nome PDF: R477 | Dim: 81x81px | CS: DeviceGray
Pag005_L5_Redigere uno Scritto_04.png | Nome PDF: R478 | Dim: 81x81px | CS: DeviceRGB
Pag005_L5_Redigere uno Scritto_05.png | Nome PDF: R479 | Dim: 81x81px | CS: DeviceGray
Pag005_L5_Redigere uno Scritto_06.png | Nome PDF: R480 | Dim: 81x81px | CS: DeviceRGB
Pag005_L5_Redigere uno Scritto_07.png | Nome PDF: R481 | Dim: 81x81px | CS: DeviceGray
Pag005_L5_Redigere uno Scritto_08.png | Nome PDF: R482 | Dim: 81x81px | CS: DeviceRGB
Pag005_L5_Redigere uno Scritto_09.png | Nome PDF: R483 | Dim: 81x81px | CS: DeviceGray
Pag005_L5_Redigere uno Scritto_10.png | Nome PDF: R484 | Dim: 81x81px | CS: DeviceRGB
Pag005_L5_Redigere uno Scritto_11.png | Nome PDF: R485 | Dim: 81x81px | CS: DeviceGray
Pag005_L5_Redigere uno Scritto_12.png | Nome PDF: R486 | Dim: 81x81px | CS: DeviceRGB
Pag005_L5_Redigere uno Scritto_13.png | Nome PDF: R487 | Dim: 81x81px | CS: DeviceGray
Pag005_L5_Redigere uno Scritto_14.png | Nome PDF: R488 | Dim: 81x81px | CS: DeviceRGB
Pag007_L7_Redigere uno Scritto_01.png | Nome PDF: R513 | Dim: 1227x1587px | CS: DeviceRGB
Pag008_L8_Linee Geomantiche_01.png | Nome PDF: R519 | Dim: 1228x1587px | CS: DeviceRGB
Pag008_L8_Linee Geomantiche_02.png | Nome PDF: R520 | Dim: 1229x75px | CS: DeviceRGB
Pag008_L8_Linee Geomantiche_03.png | Nome PDF: R522 | Dim: 59x112px | CS: DeviceGray
Pag008_L8_Linee Geomantiche_04.png | Nome PDF: R527 | Dim: 59x112px | CS: DeviceRGB
Pag008_L8_Linee Geomantiche_05.png | Nome PDF: R534 | Dim: 1156x324px | CS: DeviceGray
Pag008_L8_Linee Geomantiche_06.png | Nome PDF: R541 | Dim: 307x1099px | CS: DeviceGray
Pag008_L8_Linee Geomantiche_07.png | Nome PDF: R542 | Dim: 307x1099px | CS: DeviceRGB
Pag009_L9_Linee Geomantiche_01.png | Nome PDF: R557 | Dim: 1227x1587px | CS: DeviceRGB
Pag009_L9_Linee Geomantiche_02.png | Nome PDF: R558 | Dim: 4x1587px | CS: DeviceRGB
Pag009_L9_Linee Geomantiche_03.png | Nome PDF: R559 | Dim: 1229x75px | CS: DeviceRGB
Pag009_L9_Linee Geomantiche_04.png | Nome PDF: R570 | Dim: 551x807px | CS: DeviceRGB
Pag009_L9_Linee Geomantiche_05.png | Nome PDF: R573 | Dim: 807x551px | CS: DeviceRGB
Pag009_L9_Linee Geomantiche_06.png | Nome PDF: R576 | Dim: 130x807px | CS: DeviceRGB
Pag009_L9_Linee Geomantiche_07.png | Nome PDF: R577 | Dim: 803x131px | CS: DeviceRGB
Pag010_L10_Linee Geomantiche_01.png | Nome PDF: R594 | Dim: 1227x1586px | CS: DeviceRGB
Pag013_L13_Introduzione ai Maghi_01.png | Nome PDF: R636 | Dim: 1229x794px | CS: DeviceGray
Pag013_L13_Introduzione ai Maghi_02.png | Nome PDF: R637 | Dim: 1229x794px | CS: DeviceRGB
Pag015_L15_Introduzione ai Maghi_01.png | Nome PDF: R662 | Dim: 1227x747px | CS: DeviceRGB
Pag016_L16_Introduzione ai Maghi_01.png | Nome PDF: R674 | Dim: 727x919px | CS: DeviceRGB
Pag017_L17_Introduzione ai Maghi_01.png | Nome PDF: R687 | Dim: 530x686px | CS: DeviceRGB
Pag018_L18_La Vita di un Mago_01.png | Nome PDF: R699 | Dim: 411x1088px | CS: DeviceRGB
Pag018_L18_La Vita di un Mago_02.png | Nome PDF: R700 | Dim: 1084x411px | CS: DeviceRGB
Pag018_L18_La Vita di un Mago_03.png | Nome PDF: R703 | Dim: 394x1088px | CS: DeviceRGB
Pag018_L18_La Vita di un Mago_04.png | Nome PDF: R704 | Dim: 1084x394px | CS: DeviceRGB
Pag019_L19_La Vita di un Mago_01.png | Nome PDF: R719 | Dim: 805x1088px | CS: DeviceRGB
Pag019_L19_La Vita di un Mago_02.png | Nome PDF: R720 | Dim: 1088x805px | CS: DeviceRGB
Pag020_L20_La Vita di un Mago_01.png | Nome PDF: R735 | Dim: 349x807px | CS: DeviceRGB
Pag020_L20_La Vita di un Mago_02.png | Nome PDF: R736 | Dim: 529x807px | CS: DeviceRGB
Pag020_L20_La Vita di un Mago_03.png | Nome PDF: R737 | Dim: 803x349px | CS: DeviceRGB
Pag020_L20_La Vita di un Mago_04.png | Nome PDF: R740 | Dim: 803x483px | CS: DeviceRGB
Pag021_L21_La Vita di un Mago_01.png | Nome PDF: R755 | Dim: 694x1088px | CS: DeviceRGB
Pag021_L21_La Vita di un Mago_02.png | Nome PDF: R756 | Dim: 1083x684px | CS: DeviceRGB
Pag022_L22_La Vita di un Mago_01.png | Nome PDF: R772 | Dim: 761x1088px | CS: DeviceRGB
Pag022_L22_La Vita di un Mago_02.png | Nome PDF: R773 | Dim: 1088x761px | CS: DeviceRGB
Pag023_L23_La Vita di un Mago_01.png | Nome PDF: R788 | Dim: 270x807px | CS: DeviceRGB
Pag023_L23_La Vita di un Mago_02.png | Nome PDF: R789 | Dim: 804x270px | CS: DeviceRGB
Pag023_L23_La Vita di un Mago_03.png | Nome PDF: R794 | Dim: 1152x320px | CS: DeviceGray
Pag023_L23_La Vita di un Mago_04.png | Nome PDF: R799 | Dim: 288x1092px | CS: DeviceGray
Pag023_L23_La Vita di un Mago_05.png | Nome PDF: R800 | Dim: 288x1092px | CS: DeviceRGB
Pag024_L24_La Vita di un Mago_01.png | Nome PDF: R815 | Dim: 421x807px | CS: DeviceRGB
Pag024_L24_La Vita di un Mago_02.png | Nome PDF: R818 | Dim: 804x421px | CS: DeviceRGB
Pag025_L25_La Vita di un Mago_01.png | Nome PDF: R835 | Dim: 803x397px | CS: DeviceRGB
Pag025_L25_La Vita di un Mago_02.png | Nome PDF: R836 | Dim: 232x807px | CS: DeviceRGB
Pag025_L25_La Vita di un Mago_03.png | Nome PDF: R837 | Dim: 804x232px | CS: DeviceRGB
Pag026_L26_La Vita di un Mago_01.png | Nome PDF: R852 | Dim: 1010x1087px | CS: DeviceRGB
Pag026_L26_La Vita di un Mago_02.png | Nome PDF: R853 | Dim: 1021x1087px | CS: DeviceRGB
Pag027_L27_La Vita di un Mago_01.png | Nome PDF: R868 | Dim: 867x1087px | CS: DeviceRGB
Pag027_L27_La Vita di un Mago_02.png | Nome PDF: R869 | Dim: 902x1083px | CS: DeviceRGB
Pag028_L28_La Vita di un Mago_01.png | Nome PDF: R884 | Dim: 621x1087px | CS: DeviceRGB
Pag028_L28_La Vita di un Mago_02.png | Nome PDF: R885 | Dim: 621x1083px | CS: DeviceRGB
Pag029_L29_La Vita di un Mago_01.png | Nome PDF: R900 | Dim: 512x1365px | CS: DeviceGray
Pag029_L29_La Vita di un Mago_02.png | Nome PDF: R901 | Dim: 512x1365px | CS: DeviceRGB
Pag029_L29_La Vita di un Mago_03.png | Nome PDF: R902 | Dim: 563x1015px | CS: DeviceRGB
Pag029_L29_La Vita di un Mago_04.png | Nome PDF: R903 | Dim: 937x563px | CS: DeviceRGB
Pag030_L30_La Vita di un Mago_01.png | Nome PDF: R918 | Dim: 1227x723px | CS: DeviceRGB
Pag030_L30_La Vita di un Mago_02.png | Nome PDF: R919 | Dim: 565x1087px | CS: DeviceRGB
Pag030_L30_La Vita di un Mago_03.png | Nome PDF: R920 | Dim: 565x1083px | CS: DeviceRGB
Pag031_L31_La Vita di un Mago_01.png | Nome PDF: R935 | Dim: 688x1088px | CS: DeviceRGB
Pag031_L31_La Vita di un Mago_02.png | Nome PDF: R936 | Dim: 701x1083px | CS: DeviceRGB
Pag032_L32_Un Po’ di Conoscenza_01.png | Nome PDF: R950 | Dim: 1229x1586px | CS: DeviceRGB
Pag032_L32_Un Po’ di Conoscenza_02.png | Nome PDF: R951 | Dim: 1229x169px | CS: DeviceRGB
Pag033_L33_Un Po’ di Conoscenza_01.png | Nome PDF: R963 | Dim: 5x1586px | CS: DeviceRGB
Pag034_L34_Un Po’ di Conoscenza_01.png | Nome PDF: R975 | Dim: 1227x1587px | CS: DeviceRGB
Pag035_L35_Introduzione ai Preti_01.png | Nome PDF: R987 | Dim: 3x1587px | CS: DeviceRGB
Pag036_L36_Introduzione ai Preti_01.png | Nome PDF: R1007 | Dim: 587x912px | CS: DeviceRGB
Pag037_L37_Introduzione ai Preti_01.png | Nome PDF: R1020 | Dim: 391x710px | CS: DeviceRGB
Pag038_L38_Introduzione ai Preti_01.png | Nome PDF: R1033 | Dim: 586x960px | CS: DeviceRGB
Pag039_L39_Dana Meadbh_01.png | Nome PDF: R1045 | Dim: 425x369px | CS: DeviceGray
Pag039_L39_Dana Meadbh_02.png | Nome PDF: R1046 | Dim: 425x369px | CS: DeviceRGB
Pag040_L40_Il Fuoco Eterno_01.png | Nome PDF: R1058 | Dim: 341x341px | CS: DeviceGray
Pag040_L40_Il Fuoco Eterno_02.png | Nome PDF: R1059 | Dim: 341x341px | CS: DeviceRGB
Pag041_L41_Freya_01.png | Nome PDF: R1071 | Dim: 336x336px | CS: DeviceGray
Pag041_L41_Freya_02.png | Nome PDF: R1072 | Dim: 336x336px | CS: DeviceRGB
