orphan_type,identifier,name,details
asset_without_reference,EQUIPAGGIAMENTO/witcher-armor/armatura_del_manticora.webp,armatura_del_manticora.webp,Physical asset file exists in witcher-compendium/assets but is not referenced by any entry JSON.
asset_without_reference,EQUIPAGGIAMENTO/witcher-armor/armatura_del_orso.webp,armatura_del_orso.webp,Physical asset file exists in witcher-compendium/assets but is not referenced by any entry JSON.
asset_without_reference,EQUIPAGGIAMENTO/witcher-armor/armatura_del_vipera.webp,armatura_del_vipera.webp,Physical asset file exists in witcher-compendium/assets but is not referenced by any entry JSON.
asset_without_reference,EQUIPAGGIAMENTO/witcher-equipment/legame_di_coppia.webp,legame_di_coppia.webp,Physical asset file exists in witcher-compendium/assets but is not referenced by any entry JSON.
asset_without_reference,EQUIPAGGIAMENTO/witcher-equipment/megascopio.webp,megascopio.webp,Physical asset file exists in witcher-compendium/assets but is not referenced by any entry JSON.
asset_without_reference,EQUIPAGGIAMENTO/witcher-equipment/occhio_di_nehaleni.webp,occhio_di_nehaleni.webp,Physical asset file exists in witcher-compendium/assets but is not referenced by any entry JSON.
asset_without_reference,EQUIPAGGIAMENTO/witcher-equipment/portale_fisso.webp,portale_fisso.webp,Physical asset file exists in witcher-compendium/assets but is not referenced by any entry JSON.
asset_without_reference,EQUIPAGGIAMENTO/witcher-equipment/quadrifoglio.webp,quadrifoglio.webp,Physical asset file exists in witcher-compendium/assets but is not referenced by any entry JSON.
asset_without_reference,EQUIPAGGIAMENTO/witcher-equipment/specchio_dei_desideri.webp,specchio_dei_desideri.webp,Physical asset file exists in witcher-compendium/assets but is not referenced by any entry JSON.
asset_without_reference,EQUIPAGGIAMENTO/witcher-equipment/teschio_di_cristallo.webp,teschio_di_cristallo.webp,Physical asset file exists in witcher-compendium/assets but is not referenced by any entry JSON.
asset_without_reference,EQUIPAGGIAMENTO/witcher-equipment/torcia.webp,torcia.webp,Physical asset file exists in witcher-compendium/assets but is not referenced by any entry JSON.
asset_without_reference,EQUIPAGGIAMENTO/witcher-equipment/utensili_da_incisore_runico.webp,utensili_da_incisore_runico.webp,Physical asset file exists in witcher-compendium/assets but is not referenced by any entry JSON.
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/chernobog_473e058105d580c6.json,Chernobog,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/chernobog.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/dazhbog_9d99c60581f09e9d.json,Dazhbog,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/dazhbog.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/devana_84d6600ffe12ec6a.json,Devana,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/devana.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/glifo_della_terra_3666219674b81b0e.json,Glifo della Terra,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/glifo_della_terra.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/glifo_dell_acqua_50f25aafdfd4f85d.json,Glifo dell'Acqua,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/glifo_dell_acqua.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/glifo_dell_aria_0734f78558e6e553.json,Glifo dell'Aria,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/glifo_dell_aria.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/glifo_del_fuoco_c0cf70a762ffe38f.json,Glifo del Fuoco,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/glifo_del_fuoco.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/glifo_di_magia_9d24fcb36cc2c3a0.json,Glifo di Magia,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/glifo_di_magia.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/morana_6f1799979e9cbf7b.json,Morana,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/morana.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/perun_89ff458911c59973.json,Perun,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/perun.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/stribog_2c794e88a5e114c1.json,Stribog,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/stribog.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/svarog_d649e85510cfbdb8.json,Svarog,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/svarog.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/triglav_4801df417ac522ab.json,Triglav,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/triglav.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/veles_1afe55a9f732288c.json,Veles,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/veles.webp
entry_without_asset,MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/zoria_905e88dfef1ef2dd.json,Zoria,Entry uses a generic placeholder asset: MAGIA_E_MALEDIZIONI/Incantesimi_e_Rituali/witcher-runes/zoria.webp
entry_without_cross_reference,ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/aiuto_dell_investigatore_6826b81513b34670.json,Aiuto dell'Investigatore,Isolated entry: has no inbound or outbound cross-references or semantic links in the entire compendium.
entry_without_cross_reference,ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/aloe_del_lupo_8b6fae5f43fe90c6.json,Aloe del Lupo,Isolated entry: has no inbound or outbound cross-references or semantic links in the entire compendium.
entry_without_cross_reference,ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/brionia_7dfa6daef06adc1c.json,Brionia,Isolated entry: has no inbound or outbound cross-references or semantic links in the entire compendium.
entry_without_cross_reference,ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/calcium_equum_31680d765216a4af.json,Calcium Equum,Isolated entry: has no inbound or outbound cross-references or semantic links in the entire compendium.
entry_without_cross_reference,ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/caprifoglio_823eaf1cd8d9c2c4.json,Caprifoglio,Isolated entry: has no inbound or outbound cross-references or semantic links in the entire compendium.
entry_without_cross_reference,ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/celidonia_dd6a098153c90d21.json,Celidonia,Isolated entry: has no inbound or outbound cross-references or semantic links in the entire compendium.
entry_without_cross_reference,ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/cortinarius_2f1629feabb48338.json,Cortinarius,Isolated entry: has no inbound or outbound cross-references or semantic links in the entire compendium.
entry_without_cross_reference,ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/elisir_adrenalinico_e95ac0d602ebf7e8.json,Elisir Adrenalinico,Isolated entry: has no inbound or outbound cross-references or semantic links in the entire compendium.
entry_without_cross_reference,ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/foglie_di_balissa_9b25ff83312726e5.json,Foglie di Balissa,Isolated entry: has no inbound or outbound cross-references or semantic links in the entire compendium.
entry_without_cross_reference,ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/formula_gatto_dc5bfa134849b900.json,Formula: Gatto,Isolated entry: has no inbound or outbound cross-references or semantic links in the entire compendium.
entry_without_cross_reference,ALCHIMIA_E_ARTIGIANATO/witcher-alchemy/formula_olio_anti_elementali_c0f4e67829ad315b.json,Formula: Olio Anti-Elementali,Isolated entry: has no inbound or outbound cross-references or semantic links in the entire compendium.
