"Name","Page","UUID"
"Barriera Magica","MB 118","6f95a8d8ab5e496b"
"Compressione in Manufatto","MB 118","037a93ed3118473e"
"Consacrare","MB 118","d9cee7de73c443c5"
"Costruire Golem","MB 118","259c6a8a6cc1490f"
"Idromanzia","MB 118","0e058f4469d14c2f"
"Illusione Interattiva","MB 118","4daa77141ce74625"
"Messaggio Magico","MB 118","166789dd069a4ea2"
"Oniromanzia","MB 118","3f837cb1be7b4b06"
"Piromanzia","MB 118","40dbcd89a1d6480b"
"Rituale della Magia","MB 118","55e57065785e426b"
"Rituale della Vita","MB 118","bfdbf167dce24b07"
"Rituale Purificatore","MB 118","0c756bc90cd84b1a"
"Seduta Spiritica","MB 118","66b53304ae614932"
"Telecomunicazione","MB 118","78b3dac93ae141f6"
"Vaso d'Incantesimi","MB 118","6ceef369efb84351"
