"Fullname","Name","Class","Type"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Aard_Aria_6e3e3a6d3e0f4e70.json","Aard (Aria)","Witcher","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Acquazzone_402d36bee857486c.json","Acquazzone","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Acque_di_Limpidezza_a7ac0cb43b894853.json","Acque di Limpidezza","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Adenydd_5750cd6d5a9640c6.json","Adenydd","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Aenye_47102457bb98469c.json","Aenye","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Aine_Verseos_1e50b5373f534d66.json","Aine Verseos","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Alzare_le_Fiamme_6cc19cb05ee34cd7.json","Alzare le Fiamme","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Amico_delle_Bestie_318bd5f6a93a480e.json","Amico delle Bestie","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Anialwch_599c536b937548ba.json","Anialwch","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Arieggiare_12d1301ee1fe4806.json","Arieggiare","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Audacia_di_Freya_18ebdcb0c92149f5.json","Audacia di Freya","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Axii_Acqua_8e916dc607844caa.json","Axii (Acqua)","Witcher","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Benedizione_dAmore_35f6f3d166f54604.json","Benedizione dâ€™Amore","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Benedizione_della_Buona_Sorte_2610ca8655c14bd5.json","Benedizione della Buona Sorte","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Benedizione_della_Morte_2c1043ef3c944ebc.json","Benedizione della Morte","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Benedizione_di_Guarigione_c25716562fd847fb.json","Benedizione di Guarigione","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Bussola_Magica_017f9a4e6361438f.json","Bussola Magica","Spells","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Canto_dei_Cieli_11395cac30f940c3.json","Canto dei Cieli","Invocations","spell"
"E:\AntigravitiProgetti\CompendioTheWitcher\_tools\src-packs\MAGIA\base\witcher-spells\Cenlly_Graig_02701420cd554a85.json","Cenlly Graig","Spells","spell"
