"Name","Source","DescSnippet"
"Acquazzone","MB 106","<p>Acquazzone crea una pioggia torrenzia- le in un..."
"Adenydd","MB 105","<p>Adenydd rende lâ€™incantatore piÃ¹ leggero, per..."
"Aenye","MB 18","<p>Aenye consente di scagliare una palla di fuoco ..."
"Aine Verseos","MB 105","<p>Aine Verseos crea unâ€™area di luce splendente ..."
"Alzare le Fiamme","MB 105","<p>Alzare le Fiamme consente allâ€™incantatore di ..."
"Anialwch","MB 108","<p>Anialwch permette di risucchiare parte dei li- ..."
"Arieggiare","MB 105","<p>Arieggiare consente di ripulire unâ€™area di 4m..."
"Bussola Magica","MB 103","<p>Bussola Magica consente allâ€™incantatore di in..."
"Cenlly Graig","MB 104","<p>Cenlly Graig scaglia pietre aguzze contro un av..."
"Codi Bywyd","MB 104","<p>Codi Bywyd puÃ² far crescere una pianta adulta ..."
"Comando Mentale","MB 15","<p>Comando Mentale consente dâ€™impiantare un ordi..."
"Controllare Acque","MB 106","<p>Controllare Acque consente allâ€™incantatore di..."
"Derviscio","MB 109","<p>Creato da un misterioso mago di Ofir, Derviscio..."
"Dissipazione","MB 15","<p>Dissipazione permette di porre fine a un incan-..."
"Dividere le Acque","MB 110","<p>Dividere le Acque consente allâ€™incantatore di..."
"Effetto Specchio","MB 110","<p>Effetto Specchio crea un raggio di luce acce- c..."
"Evoca Bordone","MB 103","<p>Evoca Bordone consente allâ€™incantatore di sma..."
"Fascino","MB 15","<p>Fascino consente allâ€™incantatore di creare un..."
"Fiammata","MB 14","<p>Fiammata erutta in una direzione un cono di fuo..."
"Folata di Bronwyn","MB 105","<p>Folata di Bronwyn prende il nome dalla maga raz..."
"Fuoco di Maelgar","MB 110","<p>Questo incantesimo Ã¨ famoso per il caos che ha..."
"Grandinata di Carys","MB 106","<p>Questâ€™incantesimo, che prende il nome dalla s..."
"Grandine di Merigold","MB 18","<p>Prende il nome dalla sua creatrice Triss Merigo..."
"Guarigione Magica","MB 104","<p>Guarigione Magica stimola la guarigione natu- r..."
"Gwynt Troelli","MB 108","<p>Gwynt Troelli crea una barriera di vento intorn..."
"Illusione","MB 103","<p>Illusione consente allâ€™incantatore di creare ..."
"Incantesimo Diagnostico","MB 18","<p>Incantesimo Diagnostico consente allâ€™incanta-..."
"Lampo Magico","MB 106","<p>Lampo Magico fa balenare un lampo sopra il mago..."
"Lastra di Ghiaccio","MB 106","<p>Lastra di Ghiaccio permette di creare unâ€™area..."
"Maledizione di Sedna","MB 106","<p>Questo incantesimo prende il nome dal tumul- tu..."
"Manipolazione Mentale","MB 103","<p>Manipolazione Mentale costringe un bersaglio a ..."
"Marchio a Fuoco","MB 106","<p>Marchio di Fuoco permette allâ€™incantatore di ..."
"Moto di Demetia Crest","MB 108","<p>Moto di Demetia Crest consente allâ€™incan- tat..."
"Nebbia di Dormyn","MB 106","<p>Creato da Dormyn di Gemmera, la Nebbia di Dormy..."
"Ondate della Naglfar","MB 108","<p>Creato da un mago che asseriva di aver assistit..."
"Penna di Luthien","MB 104","<p>Penna di Luthien, che prende il nome dalla sua ..."
"Polimorfismo","MB 109","<p>Polimorfismo consente allâ€™incantatore di assu..."
"Polvere Accecante","MB 103","<p>Polvere Accecante permette allâ€™incantatore di..."
"Portale","MB 15","<p>Portale crea un portale sospeso di 1m per 2m en..."
"Prigione di Talfryn","MB 105","<p>Prigione di Talfryn prende il nome da Talfryn d..."
"Puro Dwr","MB 106","<p>Puro Dwr permette di purificare 1 metro cubo di..."
"Rhewi","MB 106","<p>Rhewi crea uno spesso strato di ghiaccio attorn..."
"Rhwystr Graig","MB 107","<p>Rhwystr Graig permette di creare una parete di ..."
"Riparo di Urien","MB 18","<p>Riparo di Urien, creato dal mago dellâ€™aria Ur..."
"Sacca dâ€™Aria","MB 105","<p>Sacca dâ€™Aria consente di creare una sacca dâ€..."
"Seirff Haul","MB 108","<p>Seirff Haul crea vari serpenti fatti di fuoco m..."
"Soffio di Korath","MB 105","<p>Soffio di Korath spezza una pietra o una superf..."
"Soffocare","MB 108","<p>Lâ€™incantesimo soffoca un bersaglio infliggend..."
"Specchio di Afan","MB 103","<p>Soffio del Korath Tempesta Statica Stretta di C..."
"Spuntone di Terra","MB 105","<p>Spuntone di Terra crea una stalattite acuminata..."
"Stretta di Cadfan","MB 106","<p>La Stretta di Cadfan, che prende il nome dal ma..."
"Tanio Ilchar","MB 18","<p>Tanio Ilchar crea uno scoppio di fuoco in unâ€™..."
"Tecnica di Eilhart","MB 103","<p>Orribile incantesimo, che prende il nome dalla ..."
"Telecinesi","MB 105","<p>Telecinesi permette allâ€™incantatore di sollev..."
"Telepatia","MB 15","<p>Telepatia consente allâ€™incantatore di comunic..."
"Teletrasporto","MB 15","<p>Il Teletrasporto consente allâ€™incantatore di ..."
"Tempesta di Fulmini","MB 109","<p>Questo incantesimo consente allâ€™incantatore d..."
"Tempesta Statica","MB 105","<p>Tempesta Statica consente allâ€™incantatore di ..."
"Teoria di Elgan","MB 107","<p>Teoria di Elgan fu scoperta da Elgan di Verdem,..."
