"Nome","Categoria","Tipo di Danno","Precisione (PA)","Danno (DAN)","Affidabilità","Mani Necessarie","Gittata","Effetti","Occultabilità","Slot Potenziamenti","Peso (kg)","Costo (Corone)","Descrizione"
"Spada di Ferro","Spade Comuni","T/P","0","2d6+2","10","2","N/A","Nessuno","G","0","1,5","160","Scialbe da dar la nausea e per niente raffinate, ma sono facili da produrre e si possono trovare ovunque."
"Spada d'Arme","Spade Comuni","T/P","0","2d6+4","15","1","N/A","Nessuno","G","0","2,5","270","Lama a una mano con un'elsa ricurva semplice e un bordo affilato; arma militare redaniana sempre più diffusa."
"Gleddyf","Spade Comuni","T/P","0","3d6+2","5","2","N/A","Nessuno","G","0","3","285","Arma nilfgaardiana con il peso concentrato in elsa e pomo, è tra le lame più pesanti del Continente e anche tra le più sottili."
"Falchion da Cacciatore","Spade Comuni","T/P","0","3d6","15","1","N/A","Nessuno","G","0","2","325","Lame massicce usate dai cacciatori per macellare le prede; ottime per spaccar legna e mozzare arti."
"Krigsverd","Spade Comuni","T/P","+2","4d6+4","10","1","N/A","Nessuno","G","0","2","570","Lame d'acciaio indurito dalla struttura alleggerita; forgiate a Skellige e temprate nel sangue di sirena, sono maledettamente precise."
"Esboda","Spade Comuni","T/P","+1","5d6","10","1","N/A","Nessuno","N/A","1","1,5","650","Una delle lame da cavalleria mettinesi più leggere e affilate in assoluto; un prodotto eccellente dell'Impero."
"Kord","Spade Comuni","T/P","0","5d6","15","1","N/A","Sanguinamento (25%)","N/A","1","1,5","725","Fatte per i marinai di Cidaris, lame semplici e robuste con una curvatura affilata, spesso contrabbandate."
"Lama Vicovariana","Spade Comuni","T/P","0","5d6+4","15","2","N/A","Bilanciata","N/A","1","1,5","955","Si riconosce per l'elsa pesante; un tempo usata dai cavalieri di Vicovaro, capace di trinciare arti anche malridotta."
"Torrwr","Spade Comuni","T/P","0","6d6","15","2","N/A","Sanguinamento (50%)","N/A","2","2","1075","Spada spaventosa usata dai Gemmeriani, capace di decapitare un cavallo al trotto con un colpo solo."
"Pugnale","Lame Corte","T/P","0","1d6+2","10","1","N/A","Nessuno","P","0","0,5","50","Armi base di tutte le misure e tipi, facili da nascondere, possedute da chiunque, dai cavalieri ai contadini."
"Stiletto","Lame Corte","T/P","+2","1d6","5","1","N/A","Occultabile","M","1","0,5","275","Modello nilfgaardiano con lama sottilissima che rientra nel manico, perfetto per essere occultato quasi ovunque."
"Costoliere","Lame Corte","T/P","+1","2d6+2","10","1","N/A","Sanguinamento (25%)","P","0","1","350","Lama in stile temeriano: lunga, sottile, leggera ed estremamente letale negli scontri ravvicinati."
"Jambiya","Lame Corte","T/P","+2","2d6","10","1","N/A","Sanguinamento (25%), Trapassare","M","1","0,5","440","Pugnale curvo zerrikaniano superbo per perforare le difese, divenuto il segno distintivo degli assassini di Maecht."
"Accetta","Asce","T","0","2d6+1","10","1","N/A","Nessuno","P","0","1","205","Strumento pensato per spaccar tronchi, ma di eccellente fattura per fendere con facilità anche le ossa dei nemici."
"Ascia da Battaglia","Asce","T","0","5d6","15","1","N/A","Ablativa","G","0","2","525","Arma devastante e più robusta di quasi ogni spada, perfetta per buttare giù porte pesanti e fare a pezzi i nemici."
"Ascia da Berserker","Asce","T","0","6d6","15","2","N/A","Sanguinamento (25%)","N/A","1","3","960","Frutto della temerarietà di Skellige: lunga due metri con un'enorme testa barbuta decorata da rune isolane."
"Tirapugni","Contundenti","C","+1","1d6","15","1","N/A","Rissa","M","1","0,5","50","Tirapugni di ferro o cuoio rigido ideali per dare quell'impatto distruttivo in più durante le risse da taverna."
"Mazza","Contundenti","C","0","5d6","15","1","N/A","Nessuno","G","0","2","525","Un'opera rozza e brutale con testa massiccia dotata di flange o spuntoni, eccellente per spaccar le ossa o frantumare le armature."
"Maglio degli Altipiani","Contundenti","C","0","6d6+2","20","2","N/A","Stordimento (-2), Meteorite","N/A","1","3","1100","Arma smisurata in uso in Kaedwen, alta quasi due metri con larga testa in ferro e letali inserti in acciaio meteoritico."
"Lancia","Armi in Asta","P/C","0","3d6","10","2","N/A","Portata","N/A","1","3,5","375","Arma preferita dalla fanteria di tutto il Continente: lunga due metri, tiene a bada i nemici e scoraggia le cariche a cavallo."
"Azza","Armi in Asta","T/P/C","0","4d6+2","10","2","N/A","Portata","N/A","0","3","460","Creata da un nano a Poviss: lunga asta con testa d'ascia, rostro e martello sul retro, progettata per sfondare ogni corazza."
"Alabarda Rossa","Armi in Asta","T/P/C","0","6d6+3","10","2","N/A","Portata","N/A","1","4","865","Arma dell'élite redaniana, composta da due metri d'asta con ascia pesante, punta perforante e un lungo rostro."
"Bastone","Bastoni","C","0","1d6+2","10","2","N/A","Portata, Focus (1)","N/A","1","3","335","Per uno che non usa la magia è solo un bastone, ma per un mago funge da efficace focus per incanalare e amplificare il potere."
"Bastone Uncinato","Bastoni","P/C","0","2d6","10","2","N/A","Portata, Focus (1), Presa","N/A","1","3,5","550","Basato su un modello del leggendario mago Alzur, nato per condurre mostri e utile per chi pratica la lotta col bastone."
"Bastone di Ferro","Bastoni","C","0","3d6","15","2","N/A","Portata, Focus (2)","N/A","1","4","675","Grossa verga di ferro intarsiata con venature di quintessenza: picchia duro come una mazza e blocca le lame avversarie."
"Bastone con Cristallo","Bastoni","C","0","2d6+2","5","2","N/A","Portata, Focus (3), Focus Sup.","N/A","2","2,5","835","Posseduto dai maghi migliori: ha una gemma perfetta incastonata in cima capace di amplificare la magia meglio di ogni altra roba."
"Coltello da Lancio","Armi da Lancio","P","0","1d6","10","1","FISx4m","Nessuno","M","0","0,5","50","Piccoli, facili da nascondere e perfettamente bilanciati; ottimi per assassini silenziosi."
"Ascia da Lancio","Armi da Lancio","T","0","2d6","10","1","FISx2m","Nessuno","P","0","1","75","Gittata limitata rispetto a un coltello, ma un blocco di metallo che ti piove addosso è brutale e fa molto più male."
"Orione","Armi da Lancio","T","+1","1d6","5","1","FISx4m","Nessuno","M","0","0,1","100","Stelle da lancio dal design insolito sviluppate dai Nilfgaardiani, sono temibili armi aeree per la loro velocità."
"Arco Corto","Archi","P","0","3d6+3","10","2","100m","Nessuno","G","0","1","290","Piccoli e inefficaci nei grandi scontri militari, ma perfetti per difendersi e per andare a cacciare di frodo."
"Arco Lungo","Archi","P","0","4d6","10","2","200m","Nessuno","N/A","1","2","475","Predecessore della balestra; in mano agli elfi è l'arma a distanza più letale del Continente, eccezion fatta per le baliste."
"Arco da Guerra","Archi","P","0","6d6","15","2","300m","Nessuno","N/A","1","3","835","Alto due metri e capace di scoccare letali piogge di frecce devastanti persino contro pesanti piastre corazzate."
"Balestrino","Balestre","P","+1","2d6+2","5","1","50m","Ricarica Lenta","G","1","0,5","285","Balestra civile per la difesa di casa: compatta, si tiene in una sola mano ma fa ancora sufficiente danno a corto raggio."
"Balestra","Balestre","P","+1","4d6+2","5","2","100m","Ricarica Lenta","N/A","1","3","455","Robusta, accurata e potente; dotata di un comodo calcio in legno, permette di tirare una sfilza di dardi con gran precisione."
