Voce,Stato,Percorso,Pack,Note
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components\acciaio_mahakaman_c4720acd29d300a3.json,witcher-components,Nome nel JSON: Acciaio Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components\dimeritium_mahakaman_575134abc37d2130.json,witcher-components,Nome nel JSON: Dimeritium Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\acciaio_mahakaman_d5124bf952ad4a10.json,witcher-schematics,Nome nel JSON: Acciaio Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\acciaio_mahakaman_d74fb67d4bac7594.json,witcher-schematics,Nome nel JSON: Acciaio Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\Armatura_a_Piastre_Mahakaman_152461ebf437fd2b.json,witcher-schematics,Nome nel JSON: Armatura a Piastre Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\Armatura_a_Piastre_Mahakaman_7be6600a7e5a44bb.json,witcher-schematics,Nome nel JSON: Armatura a Piastre Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\dimeritium_mahakaman_108970c20612f098.json,witcher-schematics,Nome nel JSON: Dimeritium Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\dimeritium_mahakaman_57eaf52ee4e148da.json,witcher-schematics,Nome nel JSON: Dimeritium Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\martello_darmi_mahakaman_33260dead5b04411.json,witcher-schematics,Nome nel JSON: Martello d’Armi Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\Martello_dArmi_Mahakaman_4892af47b1585b48.json,witcher-schematics,Nome nel JSON: Martello d'Armi Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\Palvese_Mahakaman_aa0b1d0c1b304fa0.json,witcher-schematics,Nome nel JSON: Palvese Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\Palvese_Mahakaman_cf6ea9ee4e6e5526.json,witcher-schematics,Nome nel JSON: Palvese Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,BESTIARIO\witcher-characters\arkam_artigiani_di_mahakam_9242dc625f2d507f.json,witcher-characters,Nome nel JSON: Arkam (Artigiani di Mahakam)
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,BESTIARIO\witcher-characters\rhundin_artigiani_di_mahakam_eadc1d939a63efc9.json,witcher-characters,Nome nel JSON: Rhundin (Artigiani di Mahakam)
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,EQUIPAGGIAMENTO_E_TRASPORTI\Armi_e_Armature\witcher-weapons\Martello_dArmi_Mahakaman_009a793bfe2d9ab8.json,witcher-weapons,Nome nel JSON: Martello d'Armi Mahakaman
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Geografia\witcher-geografia\dol_blathanna_da1464036f79fd5d.json,witcher-geografia,Nome nel JSON: Dol Blathanna
"Terre Antiche (Dol Blathanna, Mahakam)",PRESENTE_ALTROVE,REGOLAMENTO_E_NARRATIVA\Geografia\witcher-geografia\mahakam_d48ff43e6c3a1d5b.json,witcher-geografia,Nome nel JSON: Mahakam
L'Estremo Nord,MANCANTE,,,Non trovato nel nome dei JSON
Ofier,MANCANTE,,,Non trovato nel nome dei JSON
Zerrikania,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Componenti\witcher-components\polvere_zerrikaniana_391483bd69fdc687.json,witcher-components,Nome nel JSON: Polvere Zerrikaniana
Zerrikania,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Formule_e_Ricette\witcher-alchemy\Formula_Fuoco_Zerrikaniano_ex_7.json,witcher-alchemy,Nome nel JSON: Formula: Fuoco Zerrikaniano
Zerrikania,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Formule_e_Ricette\witcher-alchemy\fuoco_zerrikaniano_a355cea891a566a2.json,witcher-alchemy,Nome nel JSON: Fuoco Zerrikaniano
Kreve,PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\chiesa_di_kreve_f2fa3cc3d3205d48.json,witcher-lore,Nome nel JSON: Chiesa di Kreve
Melitele,PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\melitele_ab82bd9a398f9a0f.json,witcher-lore,
Il Fuoco Eterno,MANCANTE,,,Non trovato nel nome dei JSON
Il Grande Sole,PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\il_grande_sole_3467a3614ac7ed89.json,witcher-lore,
Freya,PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\freya_c11b9b55943045df.json,witcher-lore,
"Scuole dei Witcher (Gatto, Grifone, Lupo, Orso, Vipera)",PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_della_vipera_aa004a9cff1c197d.json,witcher-lore,Nome nel JSON: Scuola della Vipera
"Scuole dei Witcher (Gatto, Grifone, Lupo, Orso, Vipera)",PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_dellorso_5581f590a4fd4caf.json,witcher-lore,Nome nel JSON: Scuola dell'Orso
"Scuole dei Witcher (Gatto, Grifone, Lupo, Orso, Vipera)",PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_del_gatto_e32a8fee21cdc838.json,witcher-lore,Nome nel JSON: Scuola del Gatto
"Scuole dei Witcher (Gatto, Grifone, Lupo, Orso, Vipera)",PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_del_grifone_68022f21c5e19796.json,witcher-lore,Nome nel JSON: Scuola del Grifone
"Scuole dei Witcher (Gatto, Grifone, Lupo, Orso, Vipera)",PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scuola_del_lupo_514436e8bc41897a.json,witcher-lore,Nome nel JSON: Scuola del Lupo
Maghi (fazione/organizzazione),PRESENTE_ALTROVE,BESTIARIO\witcher-characters\maghi_6d616768696d6232.json,witcher-characters,Nome nel JSON: Maghi
Maghi (fazione/organizzazione),PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\confraternita_dei_maghi_9811007fd61ca8c2.json,witcher-lore,Nome nel JSON: Confraternita dei Maghi
Scoia'tael,PRESENTE_ALTROVE,ALCHIMIA_E_ARTIGIANATO\Schemi_di_Fabbricazione\witcher-schematics\Armatura_da_Scoiatael_12023ca27da34ff2.json,witcher-schematics,Nome nel JSON: Armatura da Scoia'tael
Scoia'tael,PRESENTE_LORE,REGOLAMENTO_E_NARRATIVA\Lore_e_Racconti\witcher-lore\scoiatael_42a06330dc87bebe.json,witcher-lore,
Havekar,MANCANTE,,,Non trovato nel nome dei JSON
Luna Crescente,MANCANTE,,,Non trovato nel nome dei JSON
Cacciatori di Maghi,MANCANTE,,,Non trovato nel nome dei JSON
Geralt di Rivia,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\Geralt_di_Rivia_6e70635f67657261.json,witcher-characters,
Yennefer di Vengerberg,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\Yennefer_di_Vengerberg_79656e6e65666572.json,witcher-characters,
Dandelion,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\dandelion_flagello_di_draghi_18bcbf48f76275fc.json,witcher-characters,Nome nel JSON: Dandelion (Flagello di Draghi)
Dandelion,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\ranuncolo_dandelion_72616e756e636f6c.json,witcher-characters,Nome nel JSON: Ranuncolo (Dandelion)
Zoltan Chivay,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\zoltan_chivay_7a6f6c74616e6368.json,witcher-characters,
Triss Merigold,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\triss_merigold_7472697373616d65.json,witcher-characters,
Vernon Roche,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\vernon_roche_7665726e6f6e726f.json,witcher-characters,
Iorveth,PRESENTE_ALTROVE,BESTIARIO\witcher-characters\iorveth_696f72766574685f.json,witcher-characters,
Letho di Guleta,MANCANTE,,,Non trovato nel nome dei JSON
Background e Vita da Witcher,MANCANTE,,,Non trovato nel nome dei JSON
