Voce,Pack,Percorso,StatoContenuto,Anteprima (primi 80 char)
Grande Orso,witcher-animals,BESTIARIO\witcher-animals\GRANDE_ORSO_428856c3bd17449e.json,COMPLETO,Senti sempre parlare di quei grossi mostri schifosi con alito di fuoco... e fini
Artorius Vigo,witcher-characters,BESTIARIO\witcher-characters\Artorius_Vigo_6172746f72697573.json,COMPLETO,Artorius Vigo era un maestro dell’illusione che lavorava per i duchi di Beauclai
Bronwyn Occhiofino,witcher-characters,BESTIARIO\witcher-characters\Bronwyn_Occhiofino_62726f6e77796e6f.json,COMPLETO,"Bronwyn Occhiofino, la prima e unica maga mai addestrata a Ban Ard. Ha creato be"
Cadfan di Ebbing,witcher-characters,BESTIARIO\witcher-characters\cadfan_di_ebbing_63616466616e6562.json,COMPLETO,"A una prima occhiata, Cadfan è l’immagine del classico mago malvagio delle favol"
Dandelion (Flagello di Draghi),witcher-characters,BESTIARIO\witcher-characters\dandelion_flagello_di_draghi_18bcbf48f76275fc.json,COMPLETO,"Questa versione di Dandelion, nota come il “Flagello di Draghi e Donzelle”, è un"
Dormyn di Gemmera,witcher-characters,BESTIARIO\witcher-characters\dormyn_di_gemmera_646f726d796e6765.json,COMPLETO,Dormyn è un abile mago da guerra con una personalità simile a una valanga. Ha ai
Dorregaray di Vole,witcher-characters,BESTIARIO\witcher-characters\dorregaray_di_vole_646f727265676172.json,COMPLETO,Dorregaray sembra incapace di finire una conversazione senza sostenere che tropp
Drystan di Nazair,witcher-characters,BESTIARIO\witcher-characters\drystan_di_nazair_6472797374616e6e.json,COMPLETO,Drystan di Nazair reagì alla perdita della sua proprietà con tutto il potere di 
Elgan di Verden,witcher-characters,BESTIARIO\witcher-characters\elgan_di_verden_656c67616e766572.json,COMPLETO,Elgan di Verden è uno specialista affascinato da tutto ciò che riguarda la terra
Francesca Findabair,witcher-characters,BESTIARIO\witcher-characters\francesca_findabair_6672616e63657363.json,COMPLETO,"Francesca Findabair, Enid an Gleanna, Regina degli Elfi. Non vi è dubbio che sia"
Fringilla Vigo,witcher-characters,BESTIARIO\witcher-characters\fringilla_vigo_6672696e67696c6c.json,COMPLETO,Fringilla si ribella alla convenzione nilfgaardiana secondo cui i maghi non devo
Geralt di Rivia,witcher-characters,BESTIARIO\witcher-characters\Geralt_di_Rivia_6e70635f67657261.json,COMPLETO,"Geralt di Rivia. Se ho mai sentito parlare di un eroe, è lui. Il nome di quel gr"
Iorveth,witcher-characters,BESTIARIO\witcher-characters\iorveth_696f72766574685f.json,COMPLETO,Iorveth è a capo di uno dei commando degli Scoia’tael sul fiume Pontar. È un cap
Istredd,witcher-characters,BESTIARIO\witcher-characters\istredd_697374726564645f.json,PLACEHOLDER,Istredd è un insolito studioso di magia che vive in un remoto villaggio. È un ma
Keira Metz,witcher-characters,BESTIARIO\witcher-characters\keira_metz_6b656972616d6574.json,COMPLETO,"Keira Metz è una maga esigente, che detesta sporco e disordine e ama le cose più"
Letho di Gulet,witcher-characters,BESTIARIO\witcher-characters\letho_di_gulet_6c6574686f67756c.json,COMPLETO,Letho di Guleta passerà alla storia come il Regicida. È solo un’altra pedina nel
Margarita Laux-Antille,witcher-characters,BESTIARIO\witcher-characters\margarita_laux_antille_6d61726761726974.json,COMPLETO,"Margarita Laux-Antille, Rita per gli amici, è tra i membri più influenti della s"
Philippa Eilhart,witcher-characters,BESTIARIO\witcher-characters\philippa_eilhart_7068696c69707061.json,COMPLETO,"Philippa Eilhart è una maga pericolosa, tanto potente da essere capace di trasfo"
Ranuncolo (Dandelion),witcher-characters,BESTIARIO\witcher-characters\ranuncolo_dandelion_72616e756e636f6c.json,COMPLETO,"Nessuno sa per certo da dove provenga Dandelion. Eh, è solo Dandelion, poeta sop"
Sile de Tancarville,witcher-characters,BESTIARIO\witcher-characters\sile_de_tancarville_616466616e656263.json,COMPLETO,Sile de Tancarville è nota per due cose: far parte della Loggia delle Maghe ed e
Stregobor di Kovir,witcher-characters,BESTIARIO\witcher-characters\stregobor_di_kovir_73747265676f626f.json,COMPLETO,Stregobor di Kovir è il mago con l’aspetto più da mago che abbia visto in vita m
Triss Merigold,witcher-characters,BESTIARIO\witcher-characters\triss_merigold_7472697373616d65.json,COMPLETO,Un tempo Triss Merigold era la maga consigliera di Re Foltest di Temeria. – Rodo
Vernon Roche,witcher-characters,BESTIARIO\witcher-characters\vernon_roche_7665726e6f6e726f.json,COMPLETO,"Oltre a John Natalis, Vernon Roche è l’umano migliore che abbia mai avuto la for"
Xarthisius,witcher-characters,BESTIARIO\witcher-characters\xarthisius_7861727468697369.json,COMPLETO,"Xarthisius ha grandi capacità divinatorie, ma tale pratica è per sua natura inga"
Yennefer di Vengerberg,witcher-characters,BESTIARIO\witcher-characters\Yennefer_di_Vengerberg_79656e6e65666572.json,COMPLETO,Non so se ho mai incontrato qualcuno a cui piacesse Yennefer di Vengerberg. Ma n
Zoltan Chivay,witcher-characters,BESTIARIO\witcher-characters\zoltan_chivay_7a6f6c74616e6368.json,COMPLETO,Zoltan Chivay. Ho incontrato quel vecchio sacco di sterco qualche anno fa. Pare 
