"Name","Source","Type","File"
"Balestra da Caccia","LR 166","weapon","Balestra_da_Caccia.json"
"Flamberga","LR 167","weapon","Flamberga.json"
"Lama Viroledana","LR 167","weapon","Lama_Viroledana.json"
"Lancia da Guerra","LR 167","weapon","Lancia_da_Guerra.json"
"Lancia Smussata","LR 167","weapon","Lancia_Smussata.json"
"Maglio del Contadino","LR 167","weapon","Maglio_del_Contadino.json"
"Martello da Cavaliere","LR 167","weapon","Martello_da_Cavaliere.json"
"Partigiana","LR 167","weapon","Partigiana.json"
"Spada Ducale","LR 167","weapon","Spada_Ducale.json"
"Arco da Viaggio Elfico","MB","weapon","Arco_da_Viaggio_Elfico_00f3ff9d48b2ad48.json"
"Armatura del Gatto","MB","armor","Armatura_del_Gatto_kobcisq696q8zvl5.json"
"Armatura del Grifone","MB","armor","Armatura_del_Grifone_ldy4e5lrkrrvsbxs.json"
"Armatura del Lupo","MB","armor","Armatura_del_Lupo_o6hqy2mbkicx457g.json"
"Armatura della Lumaca","MB","armor","Armatura_della_Lumaca_xw4u3i7psowhis32.json"
"Armatura della Manticora","MB","armor","Armatura_della_Manticora_bz4jwuwqidv3ww8g.json"
"Armatura della Vipera","MB","armor","Armatura_della_Vipera_bukppvyvclyr9uqk.json"
"Armatura dell'Orso","MB","armor","Armatura_dellOrso_jn9w0e016jtm62bq.json"
"Ascia Nanica","MB","weapon","Ascia_Nanica_0000ae86d87f059a.json"
"Ascia Nera Gnomesca","MB","weapon","Ascia_Nera_Gnomesca_006f87a98ae4f9f8.json"
"Asta","MB","weapon","Asta_0080c39f6ba83088.json"
"Badile","MB","weapon","Badile_00df31f62afb18c8.json"
"Balestra Pesante Nanica","MB","weapon","Balestra_Pesante_Nanica_0002518f9669a30e.json"
"Balestrino Gnomesco","MB","weapon","Balestrino_Gnomesco_00064db32bac6322.json"
"Bastone da Passeggio Elfico","MB","weapon","Bastone_da_Passeggio_Elfico_00c7f51114c30a28.json"
"Bastone del Vincolo","MB","weapon","Bastone_del_Vincolo_0007e9599cacf4bb.json"
"Bastone Gnomesco","MB","weapon","Bastone_Gnomesco_0006bb641be67c67.json"
"Bordone da Pastore","MB","weapon","Bordone_da_Pastore_000bdf3500204ce6.json"
"Daga a Rondelle Halfling","MB","weapon","Daga_a_Rondelle_Halfling_00690dc87f6a0988.json"
"Falce","MB","weapon","Falce_005bc4df8d624fb8.json"
"Falcetto","MB","weapon","Falcetto_00b99fe70e32c1b8.json"
"Falcione Elfico","MB","weapon","Falcione_Elfico_004618fe1a188a38.json"
"Forcone","MB","weapon","Forcone_0005aa95b9b3999c.json"
"Gwyhyr Gnomesca","MB","weapon","Gwyhyr_Gnomesca_00fecd750979a238.json"
"Lama del Tir Tochair","MB","weapon","Lama_del_Tir_Tochair_0005b5430715c5a1.json"
"Mannaia Nanica","MB","weapon","Mannaia_Nanica_000a01ded89f9801.json"
"Martello d'Armi Mahakaman","MB","weapon","Martello_dArmi_Mahakaman_009a793bfe2d9ab8.json"
"Mazzafrusto Meteoritico","MB","weapon","Mazzafrusto_Meteoritico_00692dd539a67b28.json"
"Mazzapicchio Nanico","MB","weapon","Mazzapicchio_Nanico_00c4a95e447271d8.json"
"Messer Elfico","MB","weapon","Messer_Elfico_000c6c06cba95144.json"
"Pala","MB","weapon","Pala_0009c778f870b921.json"
"Pugnale di Diaspro Sang.","MB","weapon","Pugnale_di_Diaspro_Sang._004c9f9702b73e28.json"
"Rete con Pesi","MB","weapon","Rete_con_Pesi_00087b72ccc85dd4.json"
"Rete per Mostri","MB","weapon","Rete_per_Mostri_00d1518fdb648a28.json"
"Scorpione (Balista)","MB","weapon","Scorpione_(Balista)_00056b29e0b098b1.json"
"Scuola del Gatto (Acciaio)","MB","weapon","Scuola_del_Gatto_(Acciaio)_005fa8be7e76d4c8.json"
"Scuola del Gatto (Argento)","MB","weapon","Scuola_del_Gatto_(Argento)_00eb803e8f4e8a18.json"
"Scuola del Gatto (Balestra)","MB","weapon","Scuola_del_Gatto_(Balestra)_0005a034f2852a18.json"
"Scuola del Grifone (Acciaio)","MB","weapon","Scuola_del_Grifone_(Acciaio)_00c68a08768b3218.json"
"Scuola del Grifone (Argento)","MB","weapon","Scuola_del_Grifone_(Argento)_003b7935a5eab648.json"
"Scuola del Grifone (Balestra)","MB","weapon","Scuola_del_Grifone_(Balestra)_000cc0c22629165e.json"
"Scuola del Lupo (Acciaio)","MB","weapon","Scuola_del_Lupo_(Acciaio)_000ee05377296736.json"
"Scuola del Lupo (Argento)","MB","weapon","Scuola_del_Lupo_(Argento)_0056fd9c47752d18.json"
"Scuola della Lumaca (Acciaio)","MB","weapon","Scuola_della_Lumaca_(Acciaio)_0007f981d977aaec.json"
"Scuola della Lumaca (Argento)","MB","weapon","Scuola_della_Lumaca_(Argento)_0004a8f80211769c.json"
"Scuola della Manticora (Acciaio)","MB","weapon","Scuola_della_Manticora_(Acciaio)_00c8757ce11b1778.json"
"Scuola della Manticora (Argento)","MB","weapon","Scuola_della_Manticora_(Argento)_00ccb4382fba9b98.json"
"Scuola della Vipera (Acciaio)","MB","weapon","Scuola_della_Vipera_(Acciaio)_007aaca1e51e3768.json"
"Scuola della Vipera (Argento)","MB","weapon","Scuola_della_Vipera_(Argento)_0053aa0f430b0378.json"
"Scuola della Vipera (Zanna)","MB","weapon","Scuola_della_Vipera_(Zanna)_00091b914a4c2757.json"
"Scuola dell'Orso (Acciaio)","MB","weapon","Scuola_dellOrso_(Acciaio)_000d890e417f601d.json"
"Scuola dell'Orso (Argento)","MB","weapon","Scuola_dellOrso_(Argento)_003af6d3fb73c238.json"
"Scuola dell'Orso (Balestra)","MB","weapon","Scuola_dellOrso_(Balestra)_006d87c91fc31f98.json"
"Siringa da Campo","MB","weapon","Siringa_da_Campo_0003bd37bb9ce125.json"
"Spada da Cavalleria Vrihedd","MB","weapon","Spada_da_Cavalleria_Vrihedd_008e2126fde3c528.json"
"Spada Meteoritica","MB","weapon","Spada_Meteoritica_000cc4258e8e7e53.json"
"Sperone d'Arpia","MB","weapon","Sperone_dArpia_0004479d266f425a.json"
"Spezzalama","MB","weapon","Spezzalama_000a6572b49a716c.json"
"Torcia","MB","weapon","Torcia_00f2b6abdbf85b28.json"
"Zefhar Elfico","MB","weapon","Zefhar_Elfico_000ca47aa0ce7208.json"
"Borsello","MB 14","item","Borsello_d811f31a133f4c9a.json"
"Bastone","MB 15","weapon","Bastone_7f1df27809b641e6.json"
"Bastone con Cristallo","MB 15","weapon","Bastone_con_Cristallo_023a83c9ec334aba.json"
"Specchietto","MB 15","item","Specchietto_79aef608f05c4909.json"
"Bandoliera","MB 16","item","Bandoliera_0c8a4f4b806b4703.json"
"Costoliere","MB 16","weapon","Costoliere_1d38b8f9c55f420d.json"
"Brache Corazzate","MB 19","armor","Brache_Corazzate_96e13315d29d466d.json"
"Mazza","MB 19","weapon","Mazza_703ae8232f6349ab.json"
"Pugnale","MB 20","weapon","Pugnale_08c8bc3916a44ba5.json"
"Rampino","MB 20","item","Rampino_773afe5f357947b7.json"
"Bufera di Neve","MB 247","alchemical","Bufera_di_Neve_e7aaff60fbed4515.json"
"Filtro di Petri","MB 247","alchemical","Filtro_di_Petri_ebb731ef647a9ae8.json"
"Foresta di Maribor","MB 247","alchemical","Foresta_di_Maribor_95686235acccb8bb.json"
"Gatto","MB 247","alchemical","Gatto_7ef47a8e26ccade9.json"
"Gufo Fulvo","MB 247","alchemical","Gufo_Fulvo_7c14884813d01892.json"
"Luna Piena","MB 247","alchemical","Luna_Piena_5846886fdf059329.json"
"Medaglione da Witcher","MB 247","item","Medaglione_da_Witcher_d8953dd21b37d036.json"
"Miele Bianco","MB 247","alchemical","Miele_Bianco_795c57fc484a8ddc.json"
"Orca Assassina","MB 247","alchemical","Orca_Assassina_16f2284f9b0e8d8b.json"
"Rigogolo Dorato","MB 247","alchemical","Rigogolo_Dorato_8253181f79f2c0c1.json"
"Rondine","MB 247","alchemical","Rondine_0632dbfb490dee6d.json"
"Sangue Nero","MB 247","alchemical","Sangue_Nero_e4449d568b409a4c.json"
"Spada d'acciaio da witcher","MB 247","weapon","Spada_dacciaio_da_witcher_b8b690f688a77656.json"
"Spada d'argento da witcher","MB 247","weapon","Spada_dargento_da_witcher_98a5095142388ea4.json"
"Tuono","MB 247","alchemical","Tuono_80ee7ddf323e4673.json"
"Anti-Ancestrali","MB 248","alchemical","Anti-Ancestrali_01897166528f04c2.json"
"Anti-Bestie","MB 248","alchemical","Anti-Bestie_be0449da77ab5136.json"
"Anti-Costrutti","MB 248","alchemical","Anti-Costrutti_dd75a029513af7f7.json"
"Anti-Dragonidi","MB 248","alchemical","Anti-Dragonidi_6d4f3bc2cbeec9ef.json"
"Anti-Ibridi","MB 248","alchemical","Anti-Ibridi_960d1a617e2a6847.json"
"Anti-Insettoidi","MB 248","alchemical","Anti-Insettoidi_38a76fa165a6de46.json"
"Anti-Maledetti","MB 248","alchemical","Anti-Maledetti_69e7c869d29dc1bd.json"
"Anti-Necrofagi","MB 248","alchemical","Anti-Necrofagi_6ea0fdab22fb013d.json"
"Anti-Orchi","MB 248","alchemical","Anti-Orchi_071d9c96f5e1cfa0.json"
"Anti-Spettri","MB 248","alchemical","Anti-Spettri_e1d78826b093f749.json"
"Anti-Vampiri","MB 248","alchemical","Anti-Vampiri_a8c209f3b5cbf95b.json"
"Veleno dell'Impiccato","MB 248","alchemical","Veleno_dellImpiccato_461854b6b771fa89.json"
"Decotto di Arachas","MB 250","alchemical","Decotto_di_Arachas_d50584482790f08b.json"
"Decotto di Demonio","MB 250","alchemical","Decotto_di_Demonio_e1a91e26b2f7a0e9.json"
"Decotto di Grifone","MB 250","alchemical","Decotto_di_Grifone_1acd4e9304c97f59.json"
"Decotto di Katakan","MB 250","alchemical","Decotto_di_Katakan_c10f7fbe93bb84ac.json"
"Decotto di Lupo Mannaro","MB 250","alchemical","Decotto_di_Lupo_Mannaro_54dcde0c0887499f.json"
"Decotto di Nekker","MB 250","alchemical","Decotto_di_Nekker_fa92c34dc03e5864.json"
"Decotto di Strega dei Sepolcri","MB 250","alchemical","Decotto_di_Strega_dei_Sepolcri_d39c8fd2bf6a3959.json"
"Decotto di Troll","MB 250","alchemical","Decotto_di_Troll_305e5eb931330f7c.json"
"Decotto di Viverna","MB 250","alchemical","Decotto_di_Viverna_5f32ef44d5307b90.json"
"Decotto di Wraith Diurno","MB 250","alchemical","Decotto_di_Wraith_Diurno_e906e2c6d8e60fc9.json"
"Munizioni Esplosive","MB 256","weapon","Munizioni_Esplosive_e0a1b2c3d4e5f607.json"
"Munizioni Multiple","MB 256","weapon","Munizioni_Multiple_e0a1b2c3d4e5f605.json"
"Munizioni Traccianti","MB 256","weapon","Munizioni_Traccianti_e0a1b2c3d4e5f606.json"
"Arco Lunare","MB 257","weapon","Arco_Lunare_7a8b9c0d1e2f3a4b.json"
"Bacchetta della Succube","MB 257","weapon","Bacchetta_della_Succube_b1c2d3e4f5a6b7c8.json"
"Caroline","MB 258","weapon","Caroline_c2d3e4f5a6b7c8d9.json"
"Decapitatore","MB 258","weapon","Decapitatore_d3e4f5a6b7c8d9e0.json"
"Destino","MB 259","weapon","Destino_e4f5a6b7c8d9e0f1.json"
"Devine","MB 259","weapon","Devine_f5a6b7c8d9e0f1a2.json"
"Lupo","MB 260","weapon","Lupo_a6b7c8d9e0f1a2b3.json"
"Mannaia di Hood","MB 260","weapon","Mannaia_di_Hood_b7c8d9e0f1a2b3c4.json"
"Maugrim","MB 261","weapon","Maugrim_c8d9e0f1a2b3c4d5.json"
"Morte Rossa","MB 261","weapon","Morte_Rossa_d9e0f1a2b3c4d5e6.json"
"Ogh'r","MB 262","weapon","Ogh'r_e0f1a2b3c4d5e6f7.json"
"Sentinella dell'Abisso","MB 262","weapon","Sentinella_dell'Abisso_f1a2b3c4d5e6f7a8.json"
"Spada Lunare","MB 263","weapon","Spada_Lunare_a2b3c4d5e6f7a8b9.json"
"Spina","MB 263","weapon","Spina_b3c4d5e6f7a8b9c0.json"
"Armatura di Corvo","MB 264","armor","Armatura di Corvo.json"
"Armatura dei Montanari","MB 265","armor","Armatura dei Montanari.json"
"Armatura di Draugr","MB 265","armor","Armatura di Draugr.json"
"Ascia da Battaglia","MB 40","weapon","Ascia_da_Battaglia_a2598bdcb027404b.json"
"Balestra","MB 40","weapon","Balestra_90750e6f288a4af4.json"
"Brigantina","MB 40","armor","Brigantina_1311af95fb794459.json"
"Brocchiero d???Acciaio","MB 40","armor","Brocchiero_dAcciaio_4bccea9569cb471e.json"
"Camaglio","MB 40","armor","Camaglio_88963c607dde4624.json"
"Kord","MB 40","weapon","Kord_30078fa035df4e50.json"
"Lancia","MB 40","weapon","Lancia_457d3ed6765f4524.json"
"Clessidra","MB 41","item","Clessidra_1c7a22fb25ab4db2.json"
