Tiro,Descrizione
1,Maschio - Cacciatore di Taglie - Il personaggio lo ha salvato da qualcosa
2,Femmina - Mago - Si sono conosciuti in taverna
3,Maschio - Mentore o Insegnante - Ha salvato il personaggio da qualcosa
4,Femmina - Amico d'Infanzia - Ha ingaggiato il personaggio per qualcosa
5,Maschio - Artigiano - Sono stati intrappolati insieme
6,Femmina - Un Vecchio Nemico - Sono stati costretti a lavorare insieme
7,Maschio - Duca/Duchessa - Il personaggio lo ha ingaggiato per qualcosa
8,Femmina - Prete/Sacerdotessa - Si sono incontrati da ubriachi e sono andati d'accordo
9,Maschio - Soldato - Si sono incontrati durante un viaggio
10,Femmina - Bardo - Hanno combattuto assieme
