Tiro,Fortuna
1,Vincita: qualche avvenimento importante o un colpo di fortuna gli ha reso 1d10x100 corone.
2,Trovato un Maestro: si è addestrato con un insegnante. Guadagna +1 a una qualsiasi abilità di INT o parte con una nuova abilità di INT a +2.
3,Il Debito di un Nobile: ha fatto qualcosa che gli è valso un favore da parte di un/una nobile.
4,Trovato un Maestro d'Arme: si è addestrato con un soldato. Guadagna +1 a una qualsiasi abilità di combattimento o parte con una nuova abilità di combattimento a +2.
5,Il Debito di un Witcher: ha incontrato un witcher ed è riuscito a guadagnare un favore da parte sua.
6,Accettato dai Banditi: è ammanicato con una banda di furfanti. Una volta al mese può chiedere loro un favore.
7,"Domato una Bestia: ha domato un animale selvatico incontrato nelle terre selvagge. Tirare 1d10: 1-7: Cane Selvatico (pag. 310), 8-10: Lupo (pag. 286)."
8,Il Debito di un Mago: è riuscito a guadagnare un favore da parte di un mago che ha aiutato.
9,Benedetto da un Prete: ha ricevuto un simbolo sacro che può mostrare a chi condivide tale fede e ottenere +2 al Carisma nei loro confronti.
10,Insignito Cavaliere: è stato nominato cavaliere al merito in un regno a caso. In tale regno guadagna +2 alla Reputazione ed è riconosciuto come cavaliere.
