Tiro,Descrizione
1,Maschio - Ex amico - Ha aggredito la parte lesa
2,Femmina - Ex amante - Ha causato la perdita di una persona cara
3,Maschio - Parente - Ha causato una grave umiliazione
4,Femmina - Nemico d'infanzia - Ha causato una maledizione
5,Maschio - Cultista - Lo ha accusato di stregoneria illegale
6,Femmina - Bardo - Ha respinto i suoi sentimenti
7,Maschio - Soldato - Gli ha causato una ferita gravissima
8,Femmina - Bandito - Lo ha ricattato
9,Maschio - Duca/Duchessa - Ha sventato i suoi progetti
10,Femmina - Mago - Ha causato l'attacco di un mostro
